Algoritmo,NSEGRATE,RANKINGSIZE,WEITGHT,WINDIFF,WINDIFF',PK,PK',ACURACY,ACURACY',F1,F1',AVR_SEGS_COUNT,AVR_SEGS_COUNT'
C99 20  3 T,0.200,3,true,0.481344,0.118240,0.462797,0.121056,0.574449,0.121657,0.323520,0.094162,6.083333,2.660148
C99 30  3 T,0.300,3,true,0.457006,0.108579,0.436723,0.104301,0.596183,0.105066,0.446948,0.091340,9.250000,3.960745
C99 40  3 T,0.400,3,true,0.450479,0.153414,0.424691,0.141834,0.602145,0.122917,0.512704,0.142725,12.083333,5.122798
C99 50  3 T,0.500,3,true,0.434502,0.155096,0.395376,0.105834,0.628708,0.095205,0.594193,0.123118,15.500000,6.396614
C99 60  3 T,0.600,3,true,0.489208,0.194346,0.436744,0.091182,0.591877,0.074784,0.590660,0.118671,18.416667,7.793783
C99 70  3 T,0.700,3,true,0.482135,0.231762,0.419550,0.111294,0.602438,0.106611,0.631966,0.139445,21.416667,8.948541
C99 20  5 T,0.200,5,true,0.487733,0.122108,0.469186,0.132503,0.564962,0.135311,0.312938,0.105596,6.083333,2.660148
C99 30  5 T,0.300,5,true,0.476479,0.166283,0.457635,0.174953,0.571377,0.166497,0.425732,0.150554,9.250000,3.960745
C99 40  5 T,0.400,5,true,0.476112,0.126647,0.451764,0.126586,0.578201,0.120888,0.487336,0.113447,12.083333,5.122798
C99 50  5 T,0.500,5,true,0.462752,0.142429,0.424769,0.094515,0.604851,0.086682,0.566188,0.118785,15.500000,6.396614
C99 60  5 T,0.600,5,true,0.464181,0.186658,0.415485,0.110152,0.609639,0.099502,0.604082,0.140563,18.416667,7.793783
C99 70  5 T,0.700,5,true,0.504267,0.244323,0.435289,0.117197,0.588599,0.107561,0.618698,0.141504,21.416667,8.948541
C99 20  7 T,0.200,7,true,0.478036,0.124373,0.459489,0.133251,0.574349,0.134799,0.327753,0.107785,6.083333,2.660148
C99 30  7 T,0.300,7,true,0.480706,0.144537,0.462160,0.149697,0.570097,0.141189,0.417512,0.114706,9.250000,3.960745
C99 40  7 T,0.400,7,true,0.477542,0.129169,0.451754,0.124608,0.576772,0.118459,0.482261,0.127128,12.083333,5.122798
C99 50  7 T,0.500,7,true,0.470575,0.171155,0.427384,0.107801,0.604025,0.092609,0.562996,0.130603,15.500000,6.396614
C99 60  7 T,0.600,7,true,0.479528,0.186126,0.429096,0.104441,0.598721,0.093733,0.594395,0.134473,18.416667,7.793783
C99 70  7 T,0.700,7,true,0.516303,0.241495,0.443556,0.106311,0.578924,0.099732,0.611043,0.133206,21.416667,8.948541
C99 20  3 F,0.200,3,false,0.469300,0.118994,0.452786,0.129287,0.578683,0.129728,0.334673,0.106715,6.083333,2.660148
C99 30  3 F,0.300,3,false,0.441472,0.073034,0.420893,0.086377,0.607653,0.089204,0.462707,0.056491,9.250000,3.960745
C99 40  3 F,0.400,3,false,0.467175,0.061942,0.439354,0.056724,0.590759,0.066594,0.493033,0.091582,12.083333,5.122798
C99 50  3 F,0.500,3,false,0.483422,0.136621,0.442263,0.082491,0.593388,0.077936,0.554347,0.107957,15.500000,6.396614
C99 60  3 F,0.600,3,false,0.499740,0.198823,0.441771,0.099412,0.588573,0.085186,0.587296,0.119652,18.416667,7.793783
C99 70  3 F,0.700,3,false,0.492467,0.243632,0.423192,0.115204,0.601517,0.103462,0.631746,0.132846,21.416667,8.948541
C99 20  5 F,0.200,5,false,0.494703,0.161006,0.476156,0.169790,0.555321,0.159537,0.300463,0.127814,6.083333,2.660148
C99 30  5 F,0.300,5,false,0.503158,0.133991,0.484611,0.143019,0.548699,0.140706,0.386308,0.122927,9.250000,3.960745
C99 40  5 F,0.400,5,false,0.495906,0.109729,0.477359,0.104461,0.564213,0.107790,0.466344,0.109316,12.083333,5.122798
C99 50  5 F,0.500,5,false,0.488334,0.113986,0.452383,0.071503,0.574461,0.067409,0.533197,0.103904,15.500000,6.396614
C99 60  5 F,0.600,5,false,0.484067,0.170761,0.433635,0.076696,0.593604,0.064626,0.591720,0.108004,18.416667,7.793783
C99 70  5 F,0.700,5,false,0.522447,0.234628,0.451436,0.105401,0.574371,0.095378,0.609361,0.122452,21.416667,8.948541
C99 20  7 F,0.200,7,false,0.489494,0.161760,0.470948,0.169937,0.560372,0.159144,0.307407,0.131618,6.083333,2.660148
C99 30  7 F,0.300,7,false,0.497949,0.145652,0.479106,0.153412,0.554047,0.148732,0.394410,0.132302,9.250000,3.960745
C99 40  7 F,0.400,7,false,0.499971,0.118546,0.475327,0.110979,0.560634,0.108342,0.462023,0.109698,12.083333,5.122798
C99 50  7 F,0.500,7,false,0.478801,0.145282,0.440521,0.089276,0.591507,0.079623,0.550577,0.114686,15.500000,6.396614
C99 60  7 F,0.600,7,false,0.492912,0.171703,0.438712,0.080427,0.585417,0.072750,0.585685,0.105813,18.416667,7.793783
C99 70  7 F,0.700,7,false,0.506380,0.261334,0.429864,0.131247,0.589880,0.125636,0.620740,0.148615,21.416667,8.948541
