Doc,TextSeg sr:0.10,TextSeg sr:0.15,TextSeg sr:0.20,TextSeg sr:0.25,TextSeg sr:0.30,TextSeg sr:0.35,TextSeg sr:0.40,TextSeg sr:0.45,TextSeg sr:0.50,TextSeg sr:0.55,TextSeg sr:0.60,TextSeg sr:0.65,TextSeg sr:0.70,TextSeg sr:0.75,TextSeg sr:0.80,TextSeg sr:0.85
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.520,0.320,0.360,0.400,0.400,0.520,0.480,0.520,0.600,0.640,0.600,0.560,0.560,0.520,0.560,0.600
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.235,0.412,0.412,0.235,0.294,0.471,0.412,0.353,0.412,0.412,0.588,0.529,0.588,0.647,0.706,0.706
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.385,0.423,0.538,0.462,0.423,0.462,0.500,0.577,0.538,0.577,0.654,0.692,0.654,0.577,0.615,0.577
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.538,0.500,0.538,0.462,0.500,0.462,0.500,0.577,0.538,0.577,0.577,0.615,0.577,0.577,0.538,0.500
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.515,0.515,0.576,0.606,0.667,0.667,0.697,0.697,0.758,0.727,0.667,0.636,0.636,0.636,0.667,0.667
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.273,0.364,0.364,0.455,0.455,0.364,0.364,0.455,0.545,0.545,0.455,0.455,0.545,0.545,0.636,0.636
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.600,0.650,0.700,0.750,0.700,0.750,0.800,0.750,0.700,0.650,0.600,0.550,0.500,0.450,0.400,0.350
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.771,0.743,0.686,0.629,0.629,0.657,0.657,0.657,0.657,0.629,0.571,0.514,0.457,0.429,0.429,0.429
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.583,0.667,0.708,0.583,0.542,0.583,0.500,0.542,0.500,0.458,0.500,0.500,0.458,0.500,0.458,0.500
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.760,0.700,0.740,0.680,0.720,0.660,0.700,0.640,0.640,0.620,0.580,0.520,0.480,0.420,0.380,0.360
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.814,0.767,0.791,0.791,0.837,0.837,0.837,0.791,0.674,0.628,0.628,0.628,0.535,0.488,0.442,0.419
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.696,0.661,0.607,0.661,0.643,0.589,0.589,0.571,0.554,0.536,0.625,0.518,0.607,0.411,0.429,0.375
