F1 DataSet\Algorithm,C99_20_9_false_T,C99_20_9_true_T,C99_20_11_false_T,C99_20_11_true_T,C99_40_9_false_T,C99_40_9_true_T,C99_40_11_false_T,C99_40_11_true_T,C99_60_9_false_T,C99_60_9_true_T,C99_60_11_false_T,C99_60_11_true_T,C99_80_9_false_T,C99_80_9_true_T,C99_80_11_false_T,C99_80_11_true_T,C99_100_9_false_T,C99_100_9_true_T,C99_100_11_false_T,C99_100_11_true_T
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.444444,0.444444,0.444444,0.444444,0.333333,0.333333,0.333333,0.333333,0.375000,0.500000,0.375000,0.375000,0.526316,0.526316,0.421053,0.526316,0.521739,0.521739,0.521739,0.521739
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.428571,0.428571,0.428571,0.428571,0.631579,0.526316,0.631579,0.631579,0.666667,0.750000,0.666667,0.750000,0.620690,0.689655,0.620690,0.689655,0.588235,0.588235,0.588235,0.588235
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.500000,0.500000,0.500000,0.500000,0.666667,0.666667,0.666667,0.666667,0.750000,0.750000,0.750000,0.750000,0.600000,0.600000,0.600000,0.600000,0.500000,0.500000,0.500000,0.500000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.153846,0.000000,0.307692,0.307692,0.400000,0.400000,0.400000,0.500000,0.384615,0.538462,0.461538,0.538462,0.484848,0.484848,0.484848,0.484848,0.410256,0.410256,0.410256,0.410256
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.333333,0.333333,0.333333,0.333333,0.352941,0.352941,0.352941,0.352941,0.434783,0.434783,0.434783,0.434783,0.500000,0.500000,0.500000,0.500000,0.484848,0.484848,0.484848,0.484848
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.400000,0.600000,0.600000,0.600000,0.266667,0.533333,0.400000,0.533333,0.315789,0.526316,0.421053,0.526316,0.416667,0.500000,0.416667,0.500000,0.413793,0.413793,0.413793,0.413793
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.235294,0.235294,0.235294,0.235294,0.400000,0.500000,0.400000,0.500000,0.666667,0.666667,0.666667,0.666667,0.814815,0.814815,0.814815,0.814815,0.903226,0.903226,0.903226,0.903226
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.300000,0.300000,0.300000,0.300000,0.640000,0.640000,0.640000,0.640000,0.645161,0.709677,0.645161,0.709677,0.722222,0.722222,0.722222,0.722222,0.780488,0.780488,0.780488,0.780488
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.222222,0.222222,0.222222,0.222222,0.363636,0.363636,0.363636,0.363636,0.571429,0.571429,0.571429,0.571429,0.750000,0.750000,0.750000,0.750000,0.888889,0.888889,0.888889,0.888889
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.272727,0.454545,0.363636,0.454545,0.571429,0.571429,0.642857,0.571429,0.685714,0.742857,0.742857,0.742857,0.731707,0.731707,0.780488,0.682927,0.666667,0.666667,0.666667,0.666667
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.173913,0.173913,0.173913,0.173913,0.482759,0.482759,0.482759,0.482759,0.647059,0.647059,0.647059,0.647059,0.750000,0.800000,0.750000,0.800000,0.844444,0.844444,0.844444,0.844444
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.444444,0.000000,0.444444,0.000000,0.500000,0.500000,0.500000,0.500000,0.620690,0.758621,0.620690,0.758621,0.742857,0.742857,0.742857,0.800000,0.700000,0.700000,0.700000,0.700000
