PK DataSet\Algorithm,C99_40_11_true,C99_40_9_true,TT_30_9,TT_30_12
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.250000,0.250000,0.375000,0.437500
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.173913,0.173913,0.260870,0.304348
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.125000,0.125000,0.250000,0.250000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.233333,0.300000,0.433333,0.300000
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.250000,0.291667,0.250000,0.291667
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.363636,0.363636,0.318182,0.318182
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
