Algoritmo,NSEGRATE,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
TextSeg,Auto,0.430513,0.413702,0.611276,0.662302,0.288360,0.396453,6.250000
TextSeg,0.100,0.509018,0.492207,0.541737,NaN,0.093134,0.152106,3.166667
TextSeg,0.200,0.460652,0.439776,0.583834,0.668287,0.256785,0.354504,6.083333
TextSeg,0.300,0.480261,0.444607,0.574176,0.587186,0.358381,0.426573,9.250000
TextSeg,0.400,0.477222,0.431151,0.585398,0.576814,0.477177,0.501358,12.083333
TextSeg,0.500,0.475877,0.414732,0.594622,0.565472,0.605628,0.565338,15.500000
TextSeg,0.600,0.536015,0.465004,0.548657,0.514688,0.655195,0.557134,18.416667
TextSeg,0.700,0.552467,0.460877,0.545167,0.510598,0.748488,0.587704,21.416667
TextSeg,0.800,0.598038,0.493406,0.514736,0.489045,0.805405,0.590201,24.416667
TextSeg,0.900,0.609702,0.482458,0.521055,0.495925,0.914872,0.624306,27.500000
